Transaction ID,Customer_ID,Branch,Product ID,Order Date,Quantity,Amount,Gross Profit
1634,2342,Panjim,10,3/1/2022,8,8487,587.94
1635,895,Mapusa,8,3/1/2022,14,12467,773.08
1636,2509,Panjim,2,3/1/2022,30,30255,2020.18
1637,1537,Panjim,1,3/1/2022,78,23404,1796.23
1638,1572,Panjim,1,3/1/2022,117,85817,6649.96
1639,1684,Old Goa,4,3/1/2022,147,19186,1187.96
1640,1570,Panjim,2,3/1/2022,169,132741,8388.86
1641,1139,Panjim,4,3/2/2022,73,28392,2016.81
1642,1483,Mapusa,3,3/2/2022,83,60829,4754.1
1643,2167,Old Goa,4,3/2/2022,108,12022,826.54
1644,2402,Panjim,11,3/2/2022,140,125531,8897.75
1645,3095,Old Goa,9,3/2/2022,151,20548,1561.87
1646,1683,Mapusa,8,3/2/2022,159,88976,6021.41
1647,2209,Old Goa,6,3/2/2022,172,122679,9408.2
1648,1364,Mapusa,8,3/3/2022,4,3130,241.96
1649,1626,Old Goa,11,3/3/2022,52,4187,334.12
1650,1743,Panjim,9,3/3/2022,77,25051,1861.25
1651,2498,Panjim,6,3/3/2022,94,34723,2457.33
1652,2153,Old Goa,12,3/3/2022,169,102302,7025.04
1653,2652,Mapusa,4,3/4/2022,4,3670,254.59
1654,2729,Old Goa,23,3/4/2022,6,1048,70.76
1655,968,Mapusa,3,3/4/2022,13,4966,376.18
1656,1701,Panjim,2,3/4/2022,18,8590,659
1657,3007,Old Goa,4,3/4/2022,22,12054,837.88
1658,1592,Old Goa,2,3/4/2022,39,39061,3122.42
1659,3099,Panjim,11,3/4/2022,41,10487,656.17
1660,2681,Panjim,9,3/4/2022,59,60893,4623.67
1661,2680,Panjim,11,3/4/2022,72,70680,4538.93
1662,2590,Mapusa,3,3/4/2022,95,55229,3355.09
1663,2291,Panjim,9,3/5/2022,29,24131,1817.42
1664,2134,Panjim,1,3/5/2022,95,54948,3943.71
1665,2785,Mapusa,6,3/5/2022,102,11630,722.72
1666,2315,Panjim,11,3/5/2022,117,23302,1539.38
1667,1513,Panjim,9,3/5/2022,140,137130,10282.72
1668,2015,Old Goa,20,3/6/2022,2,557,36
